DISTRITO,MAT_CRECHE,DEM_CRECHE,ANO,MES_ANO_REF,DISTRITO_F,TOTAL,SIGLA_DIST
AGUA RASA,573.0,505.0,2006.0,jun-06,Água Rasa,3468,ARA
AGUA RASA,626.0,583.0,2006.0,set-06,Água Rasa,3468,ARA
AGUA RASA,634.0,683.0,2006.0,dez-06,Água Rasa,3468,ARA
AGUA RASA,654.0,523.0,2007.0,mar-07,Água Rasa,3395,ARA
AGUA RASA,662.0,467.0,2007.0,jun-07,Água Rasa,3395,ARA
AGUA RASA,659.0,713.0,2007.0,set-07,Água Rasa,3395,ARA
AGUA RASA,723.0,360.0,2007.0,dez-07,Água Rasa,3395,ARA
AGUA RASA,722.0,192.0,2008.0,mar-08,Água Rasa,3325,ARA
AGUA RASA,772.0,246.0,2008.0,jun-08,Água Rasa,3325,ARA
AGUA RASA,777.0,358.0,2008.0,set-08,Água Rasa,3325,ARA
AGUA RASA,767.0,135.0,2008.0,dez-08,Água Rasa,3325,ARA
AGUA RASA,739.0,136.0,2009.0,mar-09,Água Rasa,3251,ARA
AGUA RASA,745.0,108.0,2009.0,jun-09,Água Rasa,3251,ARA
AGUA RASA,733.0,167.0,2009.0,set-09,Água Rasa,3251,ARA
AGUA RASA,732.0,234.0,2009.0,dez-09,Água Rasa,3251,ARA
AGUA RASA,683.0,256.0,2010.0,mar-10,Água Rasa,3184,ARA
AGUA RASA,691.0,348.0,2010.0,jun-10,Água Rasa,3184,ARA
AGUA RASA,693.0,478.0,2010.0,set-10,Água Rasa,3184,ARA
AGUA RASA,684.0,455.0,2010.0,dez-10,Água Rasa,3184,ARA
AGUA RASA,818.0,504.0,2011.0,mar-11,Água Rasa,3348,ARA
AGUA RASA,820.0,566.0,2011.0,jun-11,Água Rasa,3348,ARA
AGUA RASA,826.0,690.0,2011.0,set-11,Água Rasa,3348,ARA
AGUA RASA,818.0,358.0,2011.0,dez-11,Água Rasa,3348,ARA
AGUA RASA,879.0,416.0,2012.0,mar-12,Água Rasa,3516,ARA
AGUA RASA,880.0,506.0,2012.0,jun-12,Água Rasa,3516,ARA
AGUA RASA,886.0,612.0,2012.0,set-12,Água Rasa,3516,ARA
AGUA RASA,884.0,280.0,2012.0,dez-12,Água Rasa,3516,ARA
AGUA RASA,812.0,328.0,2013.0,mar-13,Água Rasa,3689,ARA
AGUA RASA,822.0,409.0,2013.0,jun-13,Água Rasa,3689,ARA
AGUA RASA,828.0,531.0,2013.0,set-13,Água Rasa,3689,ARA
AGUA RASA,913.0,211.0,2013.0,dez-13,Água Rasa,3689,ARA
AGUA RASA,920.0,258.0,2014.0,mar-14,Água Rasa,3871,ARA
AGUA RASA,922.0,311.0,2014.0,jun-14,Água Rasa,3871,ARA
AGUA RASA,922.0,434.0,2014.0,set-14,Água Rasa,3871,ARA
AGUA RASA,918.0,226.0,2014.0,dez-14,Água Rasa,3871,ARA
AGUA RASA,949.0,228.0,2015.0,mar-15,Água Rasa,4054,ARA
AGUA RASA,957.0,330.0,2015.0,jun-15,Água Rasa,4054,ARA
AGUA RASA,958.0,446.0,2015.0,set-15,Água Rasa,4054,ARA
AGUA RASA,960.0,178.0,2015.0,dez-15,Água Rasa,4054,ARA
AGUA RASA,1042.0,187.0,2016.0,mar-16,Água Rasa,3912,ARA
AGUA RASA,1050.0,217.0,2016.0,jun-16,Água Rasa,3912,ARA
AGUA RASA,1054.0,312.0,2016.0,set-16,Água Rasa,3912,ARA
AGUA RASA,1053.0,116.0,2016.0,dez-16,Água Rasa,3912,ARA
AGUA RASA,1016.0,253.0,2017.0,mar-17,Água Rasa,3772,ARA
AGUA RASA,1018.0,319.0,2017.0,jun-17,Água Rasa,3772,ARA
AGUA RASA,1019.0,440.0,2017.0,set-17,Água Rasa,3772,ARA
AGUA RASA,1045.0,102.0,2017.0,dez-17,Água Rasa,3772,ARA
ALTO DE PINHEIROS,236.0,64.0,2006.0,jun-06,Alto de Pinheiros,1454,API
ALTO DE PINHEIROS,244.0,105.0,2006.0,set-06,Alto de Pinheiros,1454,API
ALTO DE PINHEIROS,248.0,170.0,2006.0,dez-06,Alto de Pinheiros,1454,API
ALTO DE PINHEIROS,265.0,158.0,2007.0,mar-07,Alto de Pinheiros,1450,API
ALTO DE PINHEIROS,289.0,146.0,2007.0,jun-07,Alto de Pinheiros,1450,API
ALTO DE PINHEIROS,292.0,272.0,2007.0,set-07,Alto de Pinheiros,1450,API
ALTO DE PINHEIROS,290.0,129.0,2007.0,dez-07,Alto de Pinheiros,1450,API
ALTO DE PINHEIROS,254.0,155.0,2008.0,mar-08,Alto de Pinheiros,1437,API
ALTO DE PINHEIROS,252.0,158.0,2008.0,jun-08,Alto de Pinheiros,1437,API
ALTO DE PINHEIROS,256.0,184.0,2008.0,set-08,Alto de Pinheiros,1437,API
