DISTRITO;MAT_CRECHE;MAT_PRE_ESCOLA;MAT_FUND_I;MAT_FUND_II;MAT_EJA_I;MAT_EJA_II;MAT_ENS_MED;MAT_ED_PROF;MAT_PROC_CRECHE;MAT_PROC_PRE_ESC;DEM_CRECHE;DEM_PRE;DEM_FUND_I;DEM_FUND_II;DEM_EJA_I;DEM_EJA_II;DEM_PREF_CRECHE;DEM_PREF_PRE;MES_ANO_REF
AGUA RASA;573;1.929;1.344;1.376;219;137;0;0;;;505;153;0;0;0;0;;;jun-06
ALTO DE PINHEIROS;236;198;0;0;0;0;0;0;;;64;2;0;0;0;0;;;jun-06
ANHANGUERA;207;1.947;2.943;2.673;187;856;0;0;;;138;274;0;0;0;0;;;jun-06
ARICANDUVA;435;1.675;2.429;2.377;187;670;0;0;;;523;130;0;0;0;0;;;jun-06
ARTUR ALVIM;901;4.595;3.216;2.784;201;837;0;0;;;670;155;0;0;0;0;;;jun-06
BARRA FUNDA;220;335;0;0;0;0;0;0;;;196;27;0;0;0;0;;;jun-06
BELA VISTA;493;1.118;516;519;0;632;0;0;;;738;154;0;0;0;0;;;jun-06
BELEM;154;1.619;462;0;0;0;0;0;;;285;116;0;0;0;0;;;jun-06
BOM RETIRO;452;1.643;0;0;0;0;0;0;;;640;536;0;0;0;0;;;jun-06
BRAS;199;600;0;0;0;0;0;0;;;253;122;0;0;0;0;;;jun-06
BRASILANDIA;2.121;9.069;8.966;7.005;935;3.401;0;0;;;2.392;1.387;0;0;0;0;;;jun-06
BUTANTA;231;1.636;1.635;1.515;411;1.132;0;0;;;479;121;0;0;0;0;;;jun-06
CACHOEIRINHA;909;4.602;4.471;3.576;576;1.307;0;0;;;1.167;297;0;0;0;0;;;jun-06
CAMBUCI;131;786;0;0;316;405;0;0;;;234;267;0;0;0;0;;;jun-06
CAMPO BELO;336;782;1.492;1.350;210;700;0;0;;;529;96;0;0;0;0;;;jun-06
CAMPO GRANDE;218;2.310;3.486;3.305;468;1.198;0;0;;;431;342;0;0;0;0;;;jun-06
CAMPO LIMPO;1.286;9.673;9.669;8.696;1.193;4.243;0;0;;;3.051;2.782;0;0;0;0;;;jun-06
CANGAIBA;750;4.618;2.843;2.486;221;758;0;0;;;1.225;539;0;0;0;0;;;jun-06
CAPAO REDONDO;902;7.652;11.599;9.209;1.220;5.168;0;0;;;2.345;2.442;0;0;0;0;;;jun-06
CARRAO;506;1.745;1.068;1.028;0;135;0;0;;;470;92;0;0;0;0;;;jun-06
CASA VERDE;403;2.451;1.145;1.169;143;645;0;0;;;667;259;0;0;0;0;;;jun-06
CIDADE ADEMAR;981;6.134;4.935;4.132;749;1.768;0;0;;;3.214;2.112;0;0;0;0;;;jun-06
CIDADE DUTRA;2.421;6.612;6.624;6.381;433;2.600;0;0;;;1.934;1.232;0;0;0;0;;;jun-06
CIDADE LIDER;822;5.232;3.801;3.631;476;2.286;0;0;;;1.356;593;0;0;0;0;;;jun-06
CIDADE TIRADENTES;1.676;11.776;13.221;12.656;735;3.511;557;25;;;1.559;1.100;0;0;0;0;;;jun-06
CONSOLACAO;135;961;0;0;0;0;0;0;;;122;57;0;0;0;0;;;jun-06
CURSINO;252;2.021;998;982;0;145;0;0;;;571;183;0;0;0;0;;;jun-06
ERMELINO MATARAZZO;422;3.698;1.849;1.923;323;1.492;0;0;;;901;634;0;0;0;0;;;jun-06
FREGUESIA DO O;673;5.015;3.784;2.954;339;1.465;0;0;;;599;916;0;0;0;0;;;jun-06
GRAJAU;2.555;10.137;9.224;8.165;1.235;3.945;0;0;;;3.914;3.829;0;0;0;0;;;jun-06
GUAIANASES;750;4.742;2.073;2.442;551;1.924;0;0;;;509;429;0;0;0;0;;;jun-06
IGUATEMI;704;5.853;7.010;6.067;768;1.919;0;0;;;1.296;978;0;0;0;0;;;jun-06
IPIRANGA;728;3.066;1.017;894;215;374;0;0;;;605;112;0;0;0;0;;;jun-06
ITAIM BIBI;95;777;851;746;0;417;0;0;;;124;80;0;0;0;0;;;jun-06
ITAIM PAULISTA;1.284;7.565;5.849;6.567;611;2.914;0;0;;;1.963;1.549;0;0;0;0;;;jun-06
ITAQUERA;843;5.851;3.620;4.044;508;1.808;0;0;;;1.120;443;0;0;0;0;;;jun-06
JABAQUARA;1.004;6.191;3.480;2.990;309;1.237;0;0;;;2.279;1.245;0;0;0;0;;;jun-06
JACANA;600;3.398;1.725;1.587;31;722;0;0;;;830;643;0;0;0;0;;;jun-06
JAGUARA;324;846;884;896;185;393;0;0;;;330;36;0;0;0;0;;;jun-06
JAGUARE;230;645;411;406;203;274;0;0;;;448;162;0;0;0;0;;;jun-06
