"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Água Rasa";"2006";"3468";
"Água Rasa";"2007";"3395";
"Água Rasa";"2008";"3325";
"Água Rasa";"2009";"3251";
"Água Rasa";"2010";"3184";
"Água Rasa";"2011";"3348";
"Água Rasa";"2012";"3516";
"Água Rasa";"2013";"3689";
"Água Rasa";"2014";"3871";
"Água Rasa";"2015";"4054";
"Água Rasa";"2016";"3912";
"Água Rasa";"2017";"3772";
"Alto de Pinheiros";"2006";"1454";
"Alto de Pinheiros";"2007";"1450";
"Alto de Pinheiros";"2008";"1437";
"Alto de Pinheiros";"2009";"1428";
"Alto de Pinheiros";"2010";"1421";
"Alto de Pinheiros";"2011";"1422";
"Alto de Pinheiros";"2012";"1419";
"Alto de Pinheiros";"2013";"1422";
"Alto de Pinheiros";"2014";"1420";
"Alto de Pinheiros";"2015";"1421";
"Alto de Pinheiros";"2016";"1379";
"Alto de Pinheiros";"2017";"1340";
"Anhanguera";"2006";"4023";
"Anhanguera";"2007";"4052";
"Anhanguera";"2008";"4079";
"Anhanguera";"2009";"4095";
"Anhanguera";"2010";"4076";
"Anhanguera";"2011";"4177";
"Anhanguera";"2012";"4277";
"Anhanguera";"2013";"4371";
"Anhanguera";"2014";"4468";
"Anhanguera";"2015";"4560";
"Anhanguera";"2016";"4612";
"Anhanguera";"2017";"4660";
"Aricanduva";"2006";"4737";
"Aricanduva";"2007";"4559";
"Aricanduva";"2008";"4386";
"Aricanduva";"2009";"4219";
"Aricanduva";"2010";"4064";
"Aricanduva";"2011";"4132";
"Aricanduva";"2012";"4198";
"Aricanduva";"2013";"4264";
"Aricanduva";"2014";"4330";
"Aricanduva";"2015";"4390";
"Aricanduva";"2016";"4273";
"Aricanduva";"2017";"4156";
"Artur Alvim";"2006";"5689";
"Artur Alvim";"2007";"5503";
"Artur Alvim";"2008";"5318";
"Artur Alvim";"2009";"5138";
"Artur Alvim";"2010";"4974";
"Artur Alvim";"2011";"5020";
"Artur Alvim";"2012";"5060";
"Artur Alvim";"2013";"5103";
"Artur Alvim";"2014";"5143";
"Artur Alvim";"2015";"5180";
"Artur Alvim";"2016";"5047";
"Artur Alvim";"2017";"4910";
"Barra Funda";"2006";"574";
"Barra Funda";"2007";"575";
"Barra Funda";"2008";"577";
"Barra Funda";"2009";"580";
"Barra Funda";"2010";"583";
"Barra Funda";"2011";"633";
"Barra Funda";"2012";"684";
"Barra Funda";"2013";"742";
"Barra Funda";"2014";"800";
"Barra Funda";"2015";"862";
"Barra Funda";"2016";"838";
"Barra Funda";"2017";"813";
"Bela Vista";"2006";"2342";
"Bela Vista";"2007";"2306";
"Bela Vista";"2008";"2272";
"Bela Vista";"2009";"2235";
"Bela Vista";"2010";"2194";
"Bela Vista";"2011";"2429";
"Bela Vista";"2012";"2678";
"Bela Vista";"2013";"2945";
"Bela Vista";"2014";"3227";
"Bela Vista";"2015";"3525";
"Bela Vista";"2016";"3443";
"Bela Vista";"2017";"3350";
"Belém";"2006";"2058";
"Belém";"2007";"2068";
