"Código Localidade";"Nome Localidade";"Ano";"Faixa Etária - Escolar";"Total"
80001;"Água Rasa";2011;"00 a 03 anos";3.348
80001;"Água Rasa";2011;"Total da Seleção";3.348
80001;"Água Rasa";2011;"Total Geral da População";84.774
80002;"Alto de Pinheiros";2011;"00 a 03 anos";1.422
80002;"Alto de Pinheiros";2011;"Total da Seleção";1.422
80002;"Alto de Pinheiros";2011;"Total Geral da População";42.927
80003;"Anhanguera";2011;"00 a 03 anos";4.177
80003;"Anhanguera";2011;"Total da Seleção";4.177
80003;"Anhanguera";2011;"Total Geral da População";67.594
80004;"Aricanduva";2011;"00 a 03 anos";4.132
80004;"Aricanduva";2011;"Total da Seleção";4.132
80004;"Aricanduva";2011;"Total Geral da População";89.223
80005;"Artur Alvim";2011;"00 a 03 anos";5.020
80005;"Artur Alvim";2011;"Total da Seleção";5.020
80005;"Artur Alvim";2011;"Total Geral da População";104.772
80006;"Barra Funda";2011;"00 a 03 anos";633
80006;"Barra Funda";2011;"Total da Seleção";633
80006;"Barra Funda";2011;"Total Geral da População";14.535
80007;"Bela Vista";2011;"00 a 03 anos";2.429
80007;"Bela Vista";2011;"Total da Seleção";2.429
80007;"Bela Vista";2011;"Total Geral da População";69.861
80008;"Belém";2011;"00 a 03 anos";2.332
80008;"Belém";2011;"Total da Seleção";2.332
80008;"Belém";2011;"Total Geral da População";45.485
80009;"Bom Retiro";2011;"00 a 03 anos";1.874
80009;"Bom Retiro";2011;"Total da Seleção";1.874
80009;"Bom Retiro";2011;"Total Geral da População";34.397
80010;"Brás";2011;"00 a 03 anos";1.555
80010;"Brás";2011;"Total da Seleção";1.555
80010;"Brás";2011;"Total Geral da População";29.652
80011;"Brasilândia";2011;"00 a 03 anos";16.611
80011;"Brasilândia";2011;"Total da Seleção";16.611
80011;"Brasilândia";2011;"Total Geral da População";266.514
80012;"Butantã";2011;"00 a 03 anos";1.970
80012;"Butantã";2011;"Total da Seleção";1.970
80012;"Butantã";2011;"Total Geral da População";54.184
80013;"Cachoeirinha";2011;"00 a 03 anos";8.457
80013;"Cachoeirinha";2011;"Total da Seleção";8.457
80013;"Cachoeirinha";2011;"Total Geral da População";143.779
80014;"Cambuci";2011;"00 a 03 anos";1.782
80014;"Cambuci";2011;"Total da Seleção";1.782
80014;"Cambuci";2011;"Total Geral da População";37.317
80015;"Campo Belo";2011;"00 a 03 anos";2.625
80015;"Campo Belo";2011;"Total da Seleção";2.625
80015;"Campo Belo";2011;"Total Geral da População";65.577
80016;"Campo Grande";2011;"00 a 03 anos";4.667
80016;"Campo Grande";2011;"Total da Seleção";4.667
