"Localidades";"Períodos";"População de 0 a 3 Anos";"Cód. IBGE"
"Água Rasa";"1995";"4606";
"Água Rasa";"1996";"4462";
"Água Rasa";"1997";"4321";
"Água Rasa";"1998";"4179";
"Água Rasa";"1999";"4038";
"Água Rasa";"2000";"3893";
"Água Rasa";"2001";"3824";
"Água Rasa";"2002";"3755";
"Água Rasa";"2003";"3682";
"Água Rasa";"2004";"3608";
"Água Rasa";"2005";"3538";
"Água Rasa";"2006";"3468";
"Água Rasa";"2007";"3395";
"Água Rasa";"2008";"3325";
"Água Rasa";"2009";"3251";
"Água Rasa";"2010";"3184";
"Água Rasa";"2011";"3348";
"Água Rasa";"2012";"3516";
"Água Rasa";"2013";"3689";
"Água Rasa";"2014";"3871";
"Água Rasa";"2015";"4054";
"Água Rasa";"2016";"3912";
"Água Rasa";"2017";"3772";
"Água Rasa";"2018";"3631";
"Alto de Pinheiros";"1995";"1747";
"Alto de Pinheiros";"1996";"1694";
"Alto de Pinheiros";"1997";"1643";
"Alto de Pinheiros";"1998";"1593";
"Alto de Pinheiros";"1999";"1543";
"Alto de Pinheiros";"2000";"1488";
"Alto de Pinheiros";"2001";"1488";
"Alto de Pinheiros";"2002";"1481";
"Alto de Pinheiros";"2003";"1474";
"Alto de Pinheiros";"2004";"1471";
"Alto de Pinheiros";"2005";"1465";
"Alto de Pinheiros";"2006";"1454";
"Alto de Pinheiros";"2007";"1450";
"Alto de Pinheiros";"2008";"1437";
"Alto de Pinheiros";"2009";"1428";
"Alto de Pinheiros";"2010";"1421";
"Alto de Pinheiros";"2011";"1422";
"Alto de Pinheiros";"2012";"1419";
"Alto de Pinheiros";"2013";"1422";
"Alto de Pinheiros";"2014";"1420";
"Alto de Pinheiros";"2015";"1421";
"Alto de Pinheiros";"2016";"1379";
"Alto de Pinheiros";"2017";"1340";
"Alto de Pinheiros";"2018";"1300";
"Anhanguera";"1995";"1908";
"Anhanguera";"1996";"2162";
"Anhanguera";"1997";"2450";
"Anhanguera";"1998";"2778";
"Anhanguera";"1999";"3147";
"Anhanguera";"2000";"3558";
"Anhanguera";"2001";"3667";
"Anhanguera";"2002";"3762";
"Anhanguera";"2003";"3842";
"Anhanguera";"2004";"3915";
"Anhanguera";"2005";"3970";
"Anhanguera";"2006";"4023";
"Anhanguera";"2007";"4052";
"Anhanguera";"2008";"4079";
"Anhanguera";"2009";"4095";
"Anhanguera";"2010";"4076";
"Anhanguera";"2011";"4177";
"Anhanguera";"2012";"4277";
"Anhanguera";"2013";"4371";
"Anhanguera";"2014";"4468";
"Anhanguera";"2015";"4560";
"Anhanguera";"2016";"4612";
"Anhanguera";"2017";"4660";
"Anhanguera";"2018";"4710";
"Aricanduva";"1995";"6455";
"Aricanduva";"1996";"6338";
"Aricanduva";"1997";"6218";
"Aricanduva";"1998";"6095";
"Aricanduva";"1999";"5968";
"Aricanduva";"2000";"5835";
"Aricanduva";"2001";"5649";
"Aricanduva";"2002";"5462";
"Aricanduva";"2003";"5279";
"Aricanduva";"2004";"5094";
"Aricanduva";"2005";"4915";
"Aricanduva";"2006";"4737";
"Aricanduva";"2007";"4559";
"Aricanduva";"2008";"4386";
"Aricanduva";"2009";"4219";
"Aricanduva";"2010";"4064";
"Aricanduva";"2011";"4132";
"Aricanduva";"2012";"4198";
"Aricanduva";"2013";"4264";
"Aricanduva";"2014";"4330";
"Aricanduva";"2015";"4390";
"Aricanduva";"2016";"4273";
"Aricanduva";"2017";"4156";
"Aricanduva";"2018";"4040";
"Artur Alvim";"1995";"7541";
"Artur Alvim";"1996";"7404";
"Artur Alvim";"1997";"7262";
"Artur Alvim";"1998";"7116";
"Artur Alvim";"1999";"6965";
"Artur Alvim";"2000";"6797";
"Artur Alvim";"2001";"6621";
"Artur Alvim";"2002";"6438";
"Artur Alvim";"2003";"6254";
"Artur Alvim";"2004";"6066";
"Artur Alvim";"2005";"5878";
"Artur Alvim";"2006";"5689";
"Artur Alvim";"2007";"5503";
"Artur Alvim";"2008";"5318";
"Artur Alvim";"2009";"5138";
"Artur Alvim";"2010";"4974";
"Artur Alvim";"2011";"5020";
"Artur Alvim";"2012";"5060";
"Artur Alvim";"2013";"5103";
"Artur Alvim";"2014";"5143";
"Artur Alvim";"2015";"5180";
"Artur Alvim";"2016";"5047";
"Artur Alvim";"2017";"4910";
"Artur Alvim";"2018";"4778";
"Barra Funda";"1995";"736";
"Barra Funda";"1996";"698";
"Barra Funda";"1997";"662";
"Barra Funda";"1998";"626";
"Barra Funda";"1999";"592";
"Barra Funda";"2000";"559";
"Barra Funda";"2001";"562";
"Barra Funda";"2002";"564";
"Barra Funda";"2003";"567";
"Barra Funda";"2004";"563";
"Barra Funda";"2005";"573";
"Barra Funda";"2006";"574";
"Barra Funda";"2007";"575";
"Barra Funda";"2008";"577";
"Barra Funda";"2009";"580";
"Barra Funda";"2010";"583";
"Barra Funda";"2011";"633";
"Barra Funda";"2012";"684";
"Barra Funda";"2013";"742";
"Barra Funda";"2014";"800";
"Barra Funda";"2015";"862";
"Barra Funda";"2016";"838";
"Barra Funda";"2017";"813";
"Barra Funda";"2018";"785";
"Bela Vista";"1995";"3105";
"Bela Vista";"1996";"2988";
"Bela Vista";"1997";"2874";
"Bela Vista";"1998";"2762";
"Bela Vista";"1999";"2651";
"Bela Vista";"2000";"2542";
"Bela Vista";"2001";"2509";
"Bela Vista";"2002";"2479";
"Bela Vista";"2003";"2447";
"Bela Vista";"2004";"2415";
"Bela Vista";"2005";"2377";
"Bela Vista";"2006";"2342";
"Bela Vista";"2007";"2306";
"Bela Vista";"2008";"2272";
"Bela Vista";"2009";"2235";
"Bela Vista";"2010";"2194";
"Bela Vista";"2011";"2429";
"Bela Vista";"2012";"2678";
"Bela Vista";"2013";"2945";
"Bela Vista";"2014";"3227";
"Bela Vista";"2015";"3525";
"Bela Vista";"2016";"3443";
"Bela Vista";"2017";"3350";
"Bela Vista";"2018";"3244";
"Belém";"1995";"2393";
"Belém";"1996";"2318";
"Belém";"1997";"2242";
"Belém";"1998";"2170";
"Belém";"1999";"2095";
"Belém";"2000";"2020";
"Belém";"2001";"2024";
"Belém";"2002";"2027";
"Belém";"2003";"2035";
"Belém";"2004";"2039";
"Belém";"2005";"2049";
"Belém";"2006";"2058";
"Belém";"2007";"2068";
"Belém";"2008";"2075";
"Belém";"2009";"2077";
"Belém";"2010";"2077";
"Belém";"2011";"2332";
"Belém";"2012";"2615";
"Belém";"2013";"2920";
"Belém";"2014";"3255";
"Belém";"2015";"3619";
"Belém";"2016";"3472";
"Belém";"2017";"3318";
"Belém";"2018";"3152";
"Bom Retiro";"1995";"1789";
"Bom Retiro";"1996";"1739";
"Bom Retiro";"1997";"1692";
"Bom Retiro";"1998";"1638";
"Bom Retiro";"1999";"1593";
"Bom Retiro";"2000";"1539";
"Bom Retiro";"2001";"1560";
"Bom Retiro";"2002";"1577";
"Bom Retiro";"2003";"1595";
"Bom Retiro";"2004";"1618";
"Bom Retiro";"2005";"1636";
"Bom Retiro";"2006";"1651";
"Bom Retiro";"2007";"1677";
"Bom Retiro";"2008";"1693";
"Bom Retiro";"2009";"1712";
"Bom Retiro";"2010";"1729";
"Bom Retiro";"2011";"1874";
"Bom Retiro";"2012";"2030";
"Bom Retiro";"2013";"2195";
"Bom Retiro";"2014";"2367";
"Bom Retiro";"2015";"2552";
"Bom Retiro";"2016";"2475";
"Bom Retiro";"2017";"2392";
"Bom Retiro";"2018";"2308";
"Brás";"1995";"1970";
"Brás";"1996";"1905";
"Brás";"1997";"1843";
"Brás";"1998";"1782";
"Brás";"1999";"1719";
"Brás";"2000";"1656";
"Brás";"2001";"1628";
"Brás";"2002";"1594";
"Brás";"2003";"1566";
"Brás";"2004";"1532";
"Brás";"2005";"1505";
"Brás";"2006";"1473";
"Brás";"2007";"1450";
"Brás";"2008";"1424";
"Brás";"2009";"1392";
"Brás";"2010";"1363";
"Brás";"2011";"1555";
"Brás";"2012";"1769";
"Brás";"2013";"2004";
"Brás";"2014";"2260";
"Brás";"2015";"2544";
"Brás";"2016";"2429";
"Brás";"2017";"2304";
"Brás";"2018";"2177";
"Brasilândia";"1995";"19779";
"Brasilândia";"1996";"20265";
"Brasilândia";"1997";"20754";
"Brasilândia";"1998";"21239";
"Brasilândia";"1999";"21712";
"Brasilândia";"2000";"22157";
"Brasilândia";"2001";"21537";
"Brasilândia";"2002";"20881";
"Brasilândia";"2003";"20223";
"Brasilândia";"2004";"19570";
"Brasilândia";"2005";"18919";
"Brasilândia";"2006";"18269";
"Brasilândia";"2007";"17617";
"Brasilândia";"2008";"16987";
"Brasilândia";"2009";"16363";
"Brasilândia";"2010";"15777";
"Brasilândia";"2011";"16611";
"Brasilândia";"2012";"17459";
"Brasilândia";"2013";"18326";
"Brasilândia";"2014";"19213";
"Brasilândia";"2015";"20117";
"Brasilândia";"2016";"19686";
"Brasilândia";"2017";"19242";
"Brasilândia";"2018";"18790";
"Butantã";"1995";"2604";
"Butantã";"1996";"2522";
"Butantã";"1997";"2440";
"Butantã";"1998";"2355";
"Butantã";"1999";"2272";
"Butantã";"2000";"2185";
"Butantã";"2001";"2161";
"Butantã";"2002";"2136";
"Butantã";"2003";"2106";
"Butantã";"2004";"2074";
